Product_ID,Product_Name,Brand,Category,Flipkart_Product_Title,Flipkart_Price,Flipkart_URL,Status,Scrape_Date,Scrape_Time
P001,iPhone 17 Pro Max 1 TB,Apple ,Smartphone,"APPLE iPhone 17 Pro Max (Cosmic Orange, 1 TB)",187900,https://www.flipkart.com/apple-iphone-17-pro-max-cosmic-orange-1-tb/p/itm1f80bd9e45636,Success,2026-07-12,12:14:47
P002,Samsung Galaxy S25,Samsung,Smartphone,"Samsung Galaxy S25 5G (Icyblue, 256 GB) (12 GB RAM)",80999,https://www.flipkart.com/samsung-galaxy-s25-5g-icyblue-256-gb/p/itm3c1e495903acc,Success,2026-07-12,12:14:59
P003,OnePlus 13 (256GB),OnePlus,Smartphone,"OnePlus 13 (Black Eclipse, 512 GB) (16 GB RAM)",69349,https://www.flipkart.com/oneplus-13-midnight-ocean-256-gb/p/itmb4659fd2a037f,Success,2026-07-12,12:15:11
P004,Google Pixel 9a (256GB),Google,Smartphone,"Google Pixel 9A (Iris, 256 GB) (8 GB RAM)",49999,https://www.flipkart.com/google-pixel-9a-iris-256-gb/p/itmb2ce6b5391689,Success,2026-07-12,12:15:23
P005,HP Victus i7,HP,Laptop,HP Victus Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows...more,93999,https://www.flipkart.com/hp-victus-intel-core-i7-13th-gen-13620h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4060-15-fa1333tx-gaming-laptop/p/itm0d4c06df59ec1,Success,2026-07-12,12:15:35
P006,Lenovo LOQ 2024 i5,Lenovo,Laptop,Lenovo LoQ Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Win...more,76990,https://www.flipkart.com/lenovo-loq-intel-core-i5-13th-gen-13450hx-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050a-144-hz-15irx9-gaming-laptop/p/itm66c74c31dbd4c,Success,2026-07-12,12:15:46
P007,boAt Airdopes 181,boAt,Earbuds,"boAt Airdopes 181 Pro, 100H Battery, ENx,LED Display, Stream Ad F...more",1499,https://www.flipkart.com/boat-airdopes-181-pro-100h-battery-enx-led-display-stream-ad-free-music-via-app-bluetooth/p/itm67026d38dc463,Success,2026-07-12,12:15:58
P008,Sony WH-CH520,Sony,Headphones,"Sony WH-CH520/LZ IN Bluetooth Headset (Blue, On the Ear)",2989,https://www.flipkart.com/sony-wh-ch520-lz-bluetooth/p/itmf3323e4dd1211,Success,2026-07-12,12:16:09
P009,Logitech M331 Silent Plus,Logitech,Accessories,"Logitech M330 / Silent Plus, 1000 DPI Optical Tracking, 24 Month ...more",1145,https://www.flipkart.com/logitech-m331-silent-plus-1000-dpi-optical-tracking-ambidextrous-mouse/p/itm1b5565cc8fd04,Success,2026-07-12,12:16:20
P010,Apple Watch SE GPS 40mm,Apple ,Smartwatch,Apple Watch SE 3(2025) GPS 40mm Midnight Aluminium Case Midnight ...more,25900,https://www.flipkart.com/apple-watch-se-3-2025-gps-40mm-midnight-aluminium-case-sport-band-s-m/p/itm59046ed0837a1,Success,2026-07-12,12:16:31
