Product_ID,Product_Name_Amazon,Brand_Amazon,Category_Amazon,Amazon_Product_Title,Amazon_Price,Status_Amazon,Amazon_URL,Scrape_Date_Amazon,Scrape_Time_Amazon,Product_Name_Flipkart,Brand_Flipkart,Category_Flipkart,Flipkart_Product_Title,Flipkart_Price,Flipkart_URL,Status_Flipkart,Scrape_Date_Flipkart,Scrape_Time_Flipkart,Price_Difference,Cheapest_Platform
P001,iPhone 17 Pro Max 1 TB,Apple ,Smartphone,"Apple iPhone 17 Pro Max 1 TB: 17.42 cm (6.9″) Display with Promotion, A19 Pro Chip, Best Battery Life in Any iPhone Ever, Pro Fusion Camera System, Center Stage Front Camera; Cosmic Orange",189900.0,Success,https://www.amazon.in/dp/B0FQFPHB1W,2026-07-02,17:49:25,iPhone 17 Pro Max 1 TB,Apple ,Smartphone,"APPLE iPhone 17 Pro Max (Cosmic Orange, 1 TB)",177900,https://www.flipkart.com/apple-iphone-17-pro-max-cosmic-orange-1-tb/p/itm1f80bd9e45636,Success,2026-07-02,17:50:57,12000.0,Flipkart
P002,Samsung Galaxy S25,Samsung,Smartphone,"Samsung Galaxy S25 5G (Icyblue, 12GB RAM, 256GB Storage) | Snapdragon 8 Elite for Galaxy | 50MP Triple Camera | 12MP Front Camera | 6.2"" Full HD+ Display | 4000mAh Battery",62999.0,Success,https://www.amazon.in/Samsung-Icyblue-Storage-Snapdragon-Display/dp/B0H2J3PRKV,2026-07-02,17:49:33,Samsung Galaxy S25,Samsung,Smartphone,"Samsung Galaxy S25 5G (Icyblue, 256 GB) (12 GB RAM)",80999,https://www.flipkart.com/samsung-galaxy-s25-5g-icyblue-256-gb/p/itm3c1e495903acc,Success,2026-07-02,17:51:10,-18000.0,Amazon
P003,OnePlus 13 (256GB),OnePlus,Smartphone,OnePlus 13 | Smarter with OnePlus AI | Lifetime Display Warranty |12GB RAM 256GB Storage Midnight Ocean | Official Smartphone for BGMS 2025,54999.0,Success,https://www.amazon.in/OnePlus-13-256GB-Midnight-Ocean/dp/B0DPS7FB4J,2026-07-02,17:49:42,OnePlus 13 (256GB),OnePlus,Smartphone,"OnePlus 13 (Black Eclipse, 512 GB) (16 GB RAM)",66499,https://www.flipkart.com/oneplus-13-midnight-ocean-256-gb/p/itmb4659fd2a037f,Success,2026-07-02,17:51:21,-11500.0,Amazon
P004,Google Pixel 9a (256GB),Google,Smartphone,"Google Pixel 9A (Obsidian, 256 GB) (8 GB RAM)",43953.0,Success,https://www.amazon.in/Google-Pixel-Obsidian-256-RAM/dp/B0F6CY1S9Z,2026-07-02,17:49:50,Google Pixel 9a (256GB),Google,Smartphone,"Google Pixel 9A (Iris, 256 GB) (8 GB RAM)",49999,https://www.flipkart.com/google-pixel-9a-iris-256-gb/p/itmb2ce6b5391689,Success,2026-07-02,17:51:33,-6046.0,Amazon
P005,HP Victus i7,HP,Laptop,"HP Smartchoice Victus, 13th Gen i7-13620H, 6GB RTX 4050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, 300nits, 15.6''/39.6cm, Win11, Office24, Mica Silver, 2.3kg, fa2100tx, Xbox Gamepass* Gaming Laptop",99990.0,Success,https://www.amazon.in/HP-Smartchoice-i7-13620H-Upgradeable-Office24/dp/B0FDKS93JV,2026-07-02,17:50:00,HP Victus i7,HP,Laptop,HP Victus Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows...more,114000,https://www.flipkart.com/hp-victus-intel-core-i7-13th-gen-13620h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4060-15-fa1333tx-gaming-laptop/p/itm0d4c06df59ec1,Success,2026-07-02,17:51:43,-14010.0,Amazon
P006,Lenovo LOQ 2024 i5,Lenovo,Laptop,"Lenovo LOQ 2024, Intel Core i5-13450HX, 13th Gen, NVIDIA RTX 4050-6GB, 16GB RAM, 512GB SSD, FHD 144Hz, 15.6""/39.6cm, Windows 11, Office Home 2024, Grey, 2.4Kg, 83DV018JIN, 1Yr ADP Free Gaming Laptop",103990.0,Success,https://www.amazon.in/Lenovo-i5-13450HX-300Nits-Graphics-83DV007GIN/dp/B0D49W5KZP,2026-07-02,17:50:09,Lenovo LOQ 2024 i5,Lenovo,Laptop,Lenovo LoQ Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Win...more,80990,https://www.flipkart.com/lenovo-loq-intel-core-i5-13th-gen-13450hx-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050a-144-hz-15irx9-gaming-laptop/p/itm66c74c31dbd4c,Success,2026-07-02,17:51:56,23000.0,Flipkart
P008,Sony WH-CH520,Sony,Headphones,"Sony WH-CH520 Wireless Bluetooth Headphones On Ear with Mic, Up to 50Hrs Battery, Quick Charge, DSEE Upscale, Multipoint Connectivity, Voice Assistant, Customized EQ-Blue Model : YY2958",4328.0,Success,https://www.amazon.in/Sony-Bluetooth-Headphones-Multipoint-Connectivity/dp/B0BS1RT9S2,2026-07-02,17:50:24,Sony WH-CH520,Sony,Headphones,"Sony WH-CH520/LZ IN Bluetooth Headset (Blue, On the Ear)",4328,https://www.flipkart.com/sony-wh-ch520-lz-bluetooth/p/itmf3323e4dd1211,Success,2026-07-02,17:52:19,0.0,Flipkart
P009,Logitech M331 Silent Plus,Logitech,Accessories,"Logitech M331 Silent Plus Wireless Mouse, 2.4GHz with USB Nano Receiver, 1000 DPI Optical Tracking, 3 Buttons, 24 Month Battery Life, PC/Mac/Laptop - Black",1295.0,Success,https://www.amazon.in/Logitech-Silent-Wireless-Mouse-Black/dp/B01MQ2A86A,2026-07-02,17:50:32,Logitech M331 Silent Plus,Logitech,Accessories,"Logitech M330 / Silent Plus, 1000 DPI Optical Tracking, 24 Month ...more",1295,https://www.flipkart.com/logitech-m331-silent-plus-1000-dpi-optical-tracking-ambidextrous-mouse/p/itm1b5565cc8fd04,Success,2026-07-02,17:52:31,0.0,Flipkart
P010,Apple Watch SE GPS 40mm,Apple ,Smartwatch,Apple Watch SE 3 GPS 40mm Midnight Aluminium Case with Midnight Sport Band - S/M,25900.0,Success,https://www.amazon.in/Apple-Watch-Midnight-Aluminium-Sport/dp/B0FQFNRHQC,2026-07-02,17:50:40,Apple Watch SE GPS 40mm,Apple ,Smartwatch,Apple Watch SE 3(2025) GPS 40mm Midnight Aluminium Case Midnight ...more,25900,https://www.flipkart.com/apple-watch-se-3-2025-gps-40mm-midnight-aluminium-case-sport-band-s-m/p/itm59046ed0837a1,Success,2026-07-02,17:52:44,0.0,Flipkart
P001,iPhone 17 Pro Max 1 TB,Apple ,Smartphone,"Apple iPhone 17 Pro Max 1 TB: 17.42 cm (6.9″) Display with Promotion, A19 Pro Chip, Best Battery Life in Any iPhone Ever, Pro Fusion Camera System, Center Stage Front Camera; Cosmic Orange",119900.0,Success,https://www.amazon.in/dp/B0FQFPHB1W,2026-07-12,12:11:59,iPhone 17 Pro Max 1 TB,Apple ,Smartphone,"APPLE iPhone 17 Pro Max (Cosmic Orange, 1 TB)",187900,https://www.flipkart.com/apple-iphone-17-pro-max-cosmic-orange-1-tb/p/itm1f80bd9e45636,Success,2026-07-12,12:14:47,-68000.0,Amazon
